time_{time_begin}/{time_end}/{time_step},values,longitude,latitude,scenario_en,scenario_fr,time_res_en,time_res_fr,value_type_en,value_type_fr,percentile_en,percentile_fr,variable_en,variable_fr,uom
2006,2.3447206020355225,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2007,2.7930543422698975,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2008,2.36868953704834,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2009,2.136359214782715,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2010,2.0790650844573975,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2011,2.3473093509674072,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2012,2.834359884262085,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2013,2.38687801361084,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2014,2.6629655361175537,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2015,2.4265940189361572,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2016,2.5032341480255127,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2017,2.721994161605835,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2018,2.836195945739746,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2019,2.516982078552246,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2020,2.9618775844573975,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2021,2.960089683532715,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2022,3.0053040981292725,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2023,3.409684896469116,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2024,2.931410789489746,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2025,2.8314173221588135,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2026,2.776401996612549,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2027,2.7390103340148926,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2028,3.4794633388519287,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2029,2.9081337451934814,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2030,3.1579606533050537,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2031,2.89786958694458,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2032,3.0849270820617676,-114.057,51.044,RCP 8.5,RCP 8.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
