time_{time_begin}/{time_end}/{time_step},values,longitude,latitude,scenario_en,scenario_fr,time_res_en,time_res_fr,value_type_en,value_type_fr,percentile_en,percentile_fr,variable_en,variable_fr,uom
2006,9.448251724243164,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2007,9.722746849060059,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2008,9.119284629821777,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2009,9.564905166625977,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2010,9.253643035888672,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2011,9.38614273071289,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2012,9.749711990356445,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2013,9.698660850524902,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2014,9.878310203552246,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2015,9.28097152709961,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2016,9.687358856201172,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2017,9.436842918395996,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2018,9.851431846618652,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2019,9.51731014251709,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2020,9.933069229125977,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2021,9.706842422485352,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2022,9.860095977783203,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2023,10.241988182067871,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2024,9.968520164489746,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2025,10.235533714294434,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2026,10.168085098266602,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2027,10.113519668579102,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2028,10.449416160583496,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2029,9.781305313110352,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2030,10.032489776611328,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2031,9.769362449645996,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2032,10.371675491333008,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2033,10.195111274719238,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2034,10.360897064208984,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2035,10.389780044555664,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2036,10.429518699645996,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2037,10.433714866638184,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2038,10.159778594970703,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2039,9.893648147583008,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2040,10.35989761352539,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2041,10.635619163513184,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2042,10.566901206970215,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2043,10.805850982666016,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2044,10.418275833129883,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2045,10.50211238861084,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2046,10.624330520629883,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2047,10.96367073059082,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2048,10.471729278564453,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2049,10.658957481384277,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2050,11.102413177490234,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2051,10.845890045166016,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2052,11.033247947692871,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2053,10.728537559509277,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2054,11.19163990020752,-63.599,44.642,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
