time_{time_begin}/{time_end}/{time_step},values,longitude,latitude,scenario_en,scenario_fr,time_res_en,time_res_fr,value_type_en,value_type_fr,percentile_en,percentile_fr,variable_en,variable_fr,uom
2006,7.776495933532715,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2007,8.400310516357422,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2008,7.521796226501465,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2009,7.794699668884277,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2010,8.026981353759766,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2011,8.31113052368164,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2012,7.891232013702393,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2013,8.218214988708496,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2014,8.213916778564453,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2015,7.950565814971924,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2016,7.685858726501465,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2017,8.197073936462402,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2018,7.875538349151611,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2019,8.426759719848633,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2020,8.03160285949707,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2021,8.56241226196289,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2022,8.346445083618164,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
2023,8.589835166931152,-79.386,43.66,RCP 4.5,RCP 4.5,Annual,Annuel,Absolute,Absolue,50th percentile,50e percentile,Air temperature,Température de l'air,Celsius
